year,moisture,nh4,no3,dnra,min,nitr,crop,type,mnum,sampID,nlevel,prepost,ntime,pH_DI,type2,type3,mxgN,n2oavg,nn2o,an2o,n15n2o,a15n2o
2016,0.193069307,0.403128245,0.14,0.024563963,0.101632046,0.355615098,corn,annual,,BC PG 11,,,,6.2,Conventional,Corn,,0.004241622,-0.000143563,0.008626807,0.003514161,0.013098578
2016,0.239010989,0.738893048,0.16,,0.204639657,,corn,annual,,BC PG 12,,,,6.62,Conventional,Corn,,0.020670042,0.021686617,0.019653467,0.050988637,0.029559719
2016,0.230914232,0.905013602,0.23,,0.225913442,,corn,annual,,BC PG 13,,,,7.23,Conventional,Corn,,0.046010207,0.060958622,0.031061792,0.102275033,0.042005519
2016,0.19265144,0.788979038,0.29,,0.187322129,,corn,annual,,BC PG 14,,,,7.14,Conventional,Corn,,0.007776331,0.010076691,0.005475972,0.010431727,0.007223349
2016,0.185741088,0.462585245,3.45,,,,corn,annual,,BC PG 22,,,,6.67,Conventional,Corn,,0.007616372,0.006318189,0.008914555,,
2016,0.193957115,0.56776947,0.71,0.480043279,0.133139682,0.151702633,corn,annual,,BC PG 23,,,,7.23,Conventional,Corn,,0.007855942,0.012581795,0.003130089,0.017456726,0.002603887
2016,0.129943503,0.777833599,0.73,0.138653319,0.081932197,0.26436936,corn,annual,,BC PG 24,,,,7.08,Conventional,Corn,,0.007499266,0.013428544,0.001569988,0.001186494,0.00075777
2016,0.17903525,0.563994127,0.07,0.266818806,0.165605102,0.354828509,corn,annual,,BC PG 31,,,,6.58,Conventional,Corn,,0.052112174,0.055044535,0.049179813,0.069455363,0.08530444
2016,0.193905817,0.504707609,0.22,0.039164742,0.045420916,0.081730326,corn,annual,,BC PG 32,,,,6.45,Conventional,Corn,,0.049430038,0.084610113,0.014249962,0.092298292,0.035950292
2016,0.186523438,0.495417596,0.2,0.074967546,0.200386197,0.155691477,corn,annual,,BC PG 33,,,,6.38,Conventional,Corn,,0.009714436,0.012881813,0.00654706,0.007064204,0.015041752
2016,0.194656489,0.977619953,0.38,0.151277464,0.199086009,0.120308977,corn,annual,,BC PG 34,,,,7.04,Conventional,Corn,,0.045260584,0.063822146,0.026699021,0.083285126,0.034716353
2016,0.204162537,0.469356879,0.64,0.1960029,0.11192108,0.259405294,corn,annual,,BC PG 41,,,,6.47,Conventional,Corn,,0.003644933,0.00560492,0.001684945,0.000212688,0.001250595
2016,0.17254902,0.456343101,0.91,0.31682141,0.106350425,0.197994747,corn,annual,,BC PG 42,,,,6.17,Conventional,Corn,,0.001097676,0.001541668,0.000653685,0.002007872,0.00082718
2016,0.179316888,0.495073602,1.44,0.534272495,0.150358993,0.212407239,corn,annual,,BC PG 43,,,,6.62,Conventional,Corn,,0.000946658,0.000776768,0.001116547,0.000255741,0.00134487
2016,0.194280079,0.53270471,5.83,,0.151271554,0.283826187,corn,annual,,BC PG 44,,,,6.46,Conventional,Corn,,0.003220088,0.002014802,0.004425375,0.002149365,0.001666459
2016,0.215932914,0.438062475,8.76,0.510172459,2.497480379,,corn,annual,,BC PP 11,,,,6.61,Conventional,Corn,,0.000220819,0.000779074,-0.000337436,0.0026388,0.000292352
2016,0.222330097,0.489416287,10.81,1.189948112,5.077516648,5.831415423,corn,annual,,BC PP 12,,,,6.97,Conventional,Corn,,0.000834845,0.00186617,-0.00019648,0.002497008,0.00068377
2016,0.228228228,0.483312351,6.58,0.767947736,5.256564901,0.917834628,corn,annual,,BC PP 13,,,,7,Conventional,Corn,,-0.00060456,0.000198911,-0.001408031,9.05E-05,0.000423905
2016,0.215704825,0.62676497,8.22,0.570360415,2.491235749,,corn,annual,,BC PP 14,,,,6.76,Conventional,Corn,,-0.000303084,0.000539726,-0.001145895,0.000258587,0.000521858
